"","federal_subject","cases","recov","deaths","active","edit_date"
"258","Rostov Oblast",2,0,0,2,"08:48 27 March 2020"
"259","Ryazan Oblast",2,0,0,2,"08:48 27 March 2020"
"260","Tomsk Oblast",2,0,0,2,"08:48 27 March 2020"
"261","Yaroslavl Oblast",2,0,0,2,"08:48 27 March 2020"
"262","Chuvashia",1,0,0,1,"08:48 27 March 2020"
"263","Dagestan",1,0,0,1,"08:48 27 March 2020"
"264","Belgorod Oblast",1,0,0,1,"08:48 27 March 2020"
"265","Kurgan Oblast",1,0,0,1,"08:48 27 March 2020"
"266","Murmansk Oblast",1,0,0,1,"08:48 27 March 2020"
"267","Novgorod Oblast",1,0,0,1,"08:48 27 March 2020"
"268","Saratov Oblast",1,0,0,1,"08:48 27 March 2020"
"269","Ulyanovsk Oblast",1,0,0,1,"08:48 27 March 2020"
"270","Zabaykalsky Krai",1,1,0,0,"08:48 27 March 2020"
"271","Moscow",817,18,4,794,"12:33 28 March 2020"
"272","Moscow Oblast",85,8,0,77,"12:33 28 March 2020"
"273","Saint Petersburg",37,5,0,32,"12:33 28 March 2020"
"274","Sverdlovsk Oblast",24,0,0,24,"12:33 28 March 2020"
"275","Republic of Crimea",20,0,0,20,"12:33 28 March 2020"
"276","Krasnodar Krai",17,0,0,17,"12:33 28 March 2020"
"277","Yakutia",14,0,0,14,"12:33 28 March 2020"
"278","Tatarstan",14,1,0,13,"12:33 28 March 2020"
"279","Samara Oblast",14,1,0,13,"12:33 28 March 2020"
"280","Krasnoyarsk Krai",12,3,0,9,"12:33 28 March 2020"
"281","Kaliningrad Oblast",11,1,0,10,"12:33 28 March 2020"
"282","Nizhny Novgorod Oblast",11,1,0,10,"12:33 28 March 2020"
"283","Perm Krai",11,0,0,11,"12:33 28 March 2020"
"284","Tula Oblast",11,0,0,11,"12:33 28 March 2020"
"285","Chelyabinsk Oblast",9,0,0,9,"12:33 28 March 2020"
"286","Buryatia",8,0,0,8,"12:33 28 March 2020"
"287","Kirov Oblast",8,2,0,6,"12:33 28 March 2020"
"288","Lipetsk Oblast",8,3,0,5,"12:33 28 March 2020"
"289","Ivanovo Oblast",7,0,0,7,"12:33 28 March 2020"
"290","Leningrad Oblast",7,0,0,7,"12:33 28 March 2020"
"291","Novosibirsk Oblast",7,0,0,7,"12:33 28 March 2020"
"292","Pskov Oblast",6,0,0,6,"12:33 28 March 2020"
"293","Voronezh Oblast",6,0,0,6,"12:33 28 March 2020"
"294","Orenburg Oblast",6,0,0,5,"12:33 28 March 2020"
"295","Chechnya",5,0,0,5,"12:33 28 March 2020"
"296","Khabarovsk Krai",5,0,0,5,"12:33 28 March 2020"
"297","Stavropol Krai",5,0,0,5,"12:33 28 March 2020"
"298","Bashkortostan",4,0,0,4,"12:33 28 March 2020"
"299","Kabardino-Balkaria",4,0,0,4,"12:33 28 March 2020"
"300","Udmurtia",4,0,0,4,"12:33 28 March 2020"
"301","Sakhalin Oblast",4,0,0,4,"12:33 28 March 2020"
"302","Volgograd Oblast",4,0,0,4,"12:33 28 March 2020"
"303","Khanty-Mansi Autonomous Okrug",4,0,0,4,"12:33 28 March 2020"
"304","Komi Republic",3,0,0,3,"12:33 28 March 2020"
"305","Arkhangelsk Oblast",3,0,0,3,"12:33 28 March 2020"
"306","Bryansk Oblast",3,0,0,3,"12:33 28 March 2020"
"307","Oryol Oblast",3,0,0,3,"12:33 28 March 2020"
"308","Tambov Oblast",3,0,0,3,"12:33 28 March 2020"
"309","Kemerovo Oblast",3,1,0,2,"12:33 28 March 2020"
"310","Tyumen Oblast",3,1,0,2,"12:33 28 March 2020"
"311","Tver Oblast",3,2,0,1,"12:33 28 March 2020"
"312","Khakassia",2,0,0,2,"12:33 28 March 2020"
"313","Mordovia",2,0,0,2,"12:33 28 March 2020"
"314","Primorsky Krai",2,0,0,2,"12:33 28 March 2020"
"315","Kaluga Oblast",2,0,0,2,"12:33 28 March 2020"
"316","Penza Oblast",2,0,0,2,"12:33 28 March 2020"
"317","Rostov Oblast",2,0,0,2,"12:33 28 March 2020"
"318","Ryazan Oblast",2,0,0,2,"12:33 28 March 2020"
"319","Saratov Oblast",2,0,0,2,"12:33 28 March 2020"
"320","Yaroslavl Oblast",2,0,0,2,"12:33 28 March 2020"
"321","Tomsk Oblast",2,1,0,1,"12:33 28 March 2020"
"322","Adygea",1,0,0,1,"12:33 28 March 2020"
"323","Chuvashia",1,0,0,1,"12:33 28 March 2020"
"324","Dagestan",1,0,0,1,"12:33 28 March 2020"
"325","Belgorod Oblast",1,0,0,1,"12:33 28 March 2020"
"326","Kostroma Oblast",1,0,0,1,"12:33 28 March 2020"
"327","Kurgan Oblast",1,0,0,1,"12:33 28 March 2020"
"328","Murmansk Oblast",1,0,0,1,"12:33 28 March 2020"
"329","Novgorod Oblast",1,0,0,1,"12:33 28 March 2020"
"330","Smolensk Oblast",1,0,0,1,"12:33 28 March 2020"
"331","Ulyanovsk Oblast",1,0,0,1,"12:33 28 March 2020"
"332","Zabaykalsky Krai",1,1,0,0,"12:33 28 March 2020"
"333","Moscow",1014,28,6,979,"09:32 29 March 2020"
"334","Moscow Oblast",112,10,0,102,"09:32 29 March 2020"
"335","Saint Petersburg",42,5,1,36,"09:32 29 March 2020"
"336","Sverdlovsk Oblast",24,1,0,23,"09:32 29 March 2020"
"337","Republic of Crimea",20,0,0,20,"09:32 29 March 2020"
"338","Krasnodar Krai",17,1,0,16,"09:32 29 March 2020"
"339","Yakutia",15,0,0,15,"09:32 29 March 2020"
"340","Tatarstan",14,1,0,13,"09:32 29 March 2020"
"341","Samara Oblast",14,1,0,13,"09:32 29 March 2020"
"342","Krasnoyarsk Krai",12,3,0,9,"09:32 29 March 2020"
"343","Chelyabinsk Oblast",12,0,0,12,"09:32 29 March 2020"
"344","Kaliningrad Oblast",11,1,0,10,"09:32 29 March 2020"
"345","Nizhny Novgorod Oblast",11,1,0,10,"09:32 29 March 2020"
"346","Perm Krai",11,0,0,11,"09:32 29 March 2020"
"347","Tula Oblast",11,0,0,11,"09:32 29 March 2020"
"348","Chechnya",9,0,0,9,"09:32 29 March 2020"
"349","Leningrad Oblast",9,0,0,9,"09:32 29 March 2020"
"350","Kirov Oblast",9,2,0,7,"09:32 29 March 2020"
"351","Lipetsk Oblast",9,3,0,6,"09:32 29 March 2020"
"352","Buryatia",8,0,0,8,"09:32 29 March 2020"
"353","Novosibirsk Oblast",8,0,0,8,"09:32 29 March 2020"
"354","Komi Republic",7,0,0,7,"09:32 29 March 2020"
"355","Khabarovsk Krai",7,0,0,7,"09:32 29 March 2020"
"356","Ivanovo Oblast",7,0,0,7,"09:32 29 March 2020"
"357","Penza Oblast",7,0,0,7,"09:32 29 March 2020"
"358","Pskov Oblast",6,0,0,6,"09:32 29 March 2020"
"359","Voronezh Oblast",6,0,0,6,"09:32 29 March 2020"
"360","Orenburg Oblast",6,0,1,5,"09:32 29 March 2020"
"361","Bashkortostan",5,0,0,5,"09:32 29 March 2020"
"362","Stavropol Krai",5,0,0,5,"09:32 29 March 2020"
"363","Khanty-Mansi Autonomous Okrug",5,0,0,5,"09:32 29 March 2020"
"364","Kabardino-Balkaria",4,0,0,4,"09:32 29 March 2020"
"365","Udmurtia",4,0,0,4,"09:32 29 March 2020"
"366","Sakhalin Oblast",4,0,0,4,"09:32 29 March 2020"
"367","Volgograd Oblast",4,0,0,4,"09:32 29 March 2020"
"368","Tyumen Oblast",4,1,0,3,"09:32 29 March 2020"
"369","Mordovia",3,0,0,3,"09:32 29 March 2020"
"370","Arkhangelsk Oblast",3,0,0,3,"09:32 29 March 2020"
"371","Bryansk Oblast",3,0,0,3,"09:32 29 March 2020"
"372","Murmansk Oblast",3,0,0,3,"09:32 29 March 2020"
"373","Novgorod Oblast",3,0,0,3,"09:32 29 March 2020"
"374","Omsk Oblast",3,0,0,3,"09:32 29 March 2020"
"375","Oryol Oblast",3,0,0,3,"09:32 29 March 2020"
"376","Ryazan Oblast",3,0,0,3,"09:32 29 March 2020"
"377","Tambov Oblast",3,0,0,3,"09:32 29 March 2020"
"378","Yaroslavl Oblast",3,0,0,3,"09:32 29 March 2020"
"379","Tomsk Oblast",3,1,0,2,"09:32 29 March 2020"
"380","Kemerovo Oblast",3,2,0,1,"09:32 29 March 2020"
"381","Tver Oblast",3,2,0,1,"09:32 29 March 2020"
"382","Khakassia",2,0,0,2,"09:32 29 March 2020"
"383","Primorsky Krai",2,0,0,2,"09:32 29 March 2020"
"384","Belgorod Oblast",2,0,0,2,"09:32 29 March 2020"
"385","Kaluga Oblast",2,0,0,2,"09:32 29 March 2020"
"386","Rostov Oblast",2,0,0,2,"09:32 29 March 2020"
"387","Saratov Oblast",2,0,0,2,"09:32 29 March 2020"
"388","Adygea",1,0,0,1,"09:32 29 March 2020"
"389","Chuvashia",1,0,0,1,"09:32 29 March 2020"
"390","Dagestan",1,0,0,1,"09:32 29 March 2020"
"391","Amur Oblast",1,0,0,1,"09:32 29 March 2020"
"392","Irkutsk Oblast",1,0,0,1,"09:32 29 March 2020"
"393","Kostroma Oblast",1,0,0,1,"09:32 29 March 2020"
"394","Kurgan Oblast",1,0,0,1,"09:32 29 March 2020"
"395","Smolensk Oblast",1,0,0,1,"09:32 29 March 2020"
"396","Ulyanovsk Oblast",1,0,0,1,"09:32 29 March 2020"
"397","Zabaykalsky Krai",1,1,0,0,"09:32 29 March 2020"
"398","Moscow",1227,29,6,1191,"12:19 30 March 2020"
"399","Moscow Oblast",119,10,0,109,"12:19 30 March 2020"
"400","Saint Petersburg",50,5,1,44,"12:19 30 March 2020"
"401","Sverdlovsk Oblast",24,1,0,23,"12:19 30 March 2020"
"402","Komi Republic",22,0,0,22,"12:19 30 March 2020"
"403","Krasnodar Krai",17,1,0,16,"12:19 30 March 2020"
"404","Republic of Crimea",15,0,0,15,"12:19 30 March 2020"
"405","Yakutia",15,0,0,15,"12:19 30 March 2020"
"406","Chelyabinsk Oblast",14,0,0,14,"12:19 30 March 2020"
"407","Tatarstan",14,1,0,13,"12:19 30 March 2020"
"408","Samara Oblast",14,1,0,13,"12:19 30 March 2020"
"409","Krasnoyarsk Krai",14,3,0,11,"12:19 30 March 2020"
"410","Perm Krai",13,0,0,13,"12:19 30 March 2020"
"411","Buryatia",13,0,0,13,"12:19 30 March 2020"
"412","Tula Oblast",12,0,0,12,"12:19 30 March 2020"
