"","place","link","tables_present","test_tables","hospital_and_test","hospital_test_region","test_region"
"108","New Brunswick","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_Brunswick",0,0,0,0,0
"109","the Democratic Republic of the Congo","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Democratic_Republic_of_the_Congo",0,0,0,0,0
"110","Ohio","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ohio",1,0,0,0,0
"111","Sweden","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sweden",1,1,1,1,1
"112","Mozambique","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mozambique",0,0,0,0,0
"113","Alaska","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Alaska",1,0,0,0,0
"114","Lowell, Massachusetts","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Lowell,_Massachusetts",2,1,1,1,1
"115","Asia","https://en.wikipedia.org//wiki/2019%E2%80%9320_coronavirus_pandemic_in_Asia",0,0,0,0,0
"116","England","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_England",0,0,0,0,0
"117","the Northern Mariana Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Northern_Mariana_Islands",0,0,0,0,0
"118","French Polynesia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_French_Polynesia",0,0,0,0,0
"119","the Maldives","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Maldives",2,0,1,0,0
"120","Louisiana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Louisiana",1,1,1,1,1
"121","Florida","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Florida",1,0,1,0,0
"122","Indiana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Indiana",1,0,0,0,0
"123","South Africa","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_South_Africa",1,1,1,0,0
"124","Kuwait","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Kuwait",0,0,0,0,0
"125","the Central African Republic","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Central_African_Republic",0,0,0,0,0
"126","Sudan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sudan",0,0,0,0,0
"127","Saint Kitts and Nevis","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saint_Kitts_and_Nevis",0,0,0,0,0
"128","Papua New Guinea","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Papua_New_Guinea",0,0,0,0,0
"129","Armenia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Armenia",1,0,0,0,0
"130","South Dakota","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_South_Dakota",1,0,0,0,0
"131","the Donetsk People's Republic","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Donetsk_People%27s_Republic",0,0,0,0,0
"132","Yemen","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Yemen",0,0,0,0,0
"133","the Community of Madrid","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Community_of_Madrid",0,0,0,0,0
"134","Monaco","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Monaco",0,0,0,0,0
"135","Zambia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Zambia",0,0,0,0,0
"136","Ceuta","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ceuta",0,0,0,0,0
"137","Botswana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Botswana",0,0,0,0,0
"138","Equatorial Guinea","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Equatorial_Guinea",0,0,0,0,0
"139","Idaho","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Idaho",1,0,0,0,0
"140","Somaliland","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Somaliland",0,0,0,0,0
"141","San Marino","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_San_Marino",0,0,0,0,0
"142","Réunion","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_R%C3%A9union",0,0,0,0,0
"143","Brunei","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Brunei",0,0,0,0,0
"144","Burundi","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Burundi",0,0,0,0,0
"145","Andorra","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Andorra",0,0,0,0,0
"146","Iraq","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Iraq",1,0,0,0,0
"147","Saint Barthélemy","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saint_Barth%C3%A9lemy",0,0,0,0,0
"148","Dominica","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Dominica",0,0,0,0,0
"149","Rwanda","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Rwanda",0,0,0,0,0
"150","Saint Vincent and the Grenadines","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saint_Vincent_and_the_Grenadines",0,0,0,0,0
"151","Turkmenistan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Turkmenistan",0,0,0,0,0
"152","New Jersey","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_Jersey",1,0,0,0,0
"153","Sevastopol","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sevastopol",0,0,0,0,0
"154","Greece","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Greece",1,1,1,0,0
"155","Easter Island","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Easter_Island",0,0,0,0,0
"156","East Timor","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_East_Timor",0,0,0,0,0
"157","West Virginia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_West_Virginia",1,0,0,0,0
"158","Transnistria","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Transnistria",1,0,0,0,0
"159","Lebanon","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Lebanon",0,0,0,0,0
"160","Anguilla","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Anguilla",0,0,0,0,0
"161","Curaçao","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Cura%C3%A7ao",0,0,0,0,0
"162","the Turks and Caicos Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands",0,0,0,0,0
"163","New Caledonia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_Caledonia",0,0,0,0,0
"164","Tennessee","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Tennessee",1,0,0,0,0
"165","Saint Lucia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saint_Lucia",0,0,0,0,0
"166","Wyoming","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Wyoming",1,0,0,0,0
"167","Niger","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Niger",0,0,0,0,0
"168","Kenya","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Kenya",0,0,0,0,0
"169","Delhi","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Delhi",0,0,0,0,0
"170","Goa","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Goa",0,0,0,0,0
"171","Uzbekistan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Uzbekistan",0,0,0,0,0
"172","Sint Eustatius","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sint_Eustatius",0,0,0,0,0
