"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"169","Ninh Thuan",2,NA,"15:29, 22 March 2020",0,NA
"170","Quang Nam",3,NA,"15:29, 22 March 2020",0,NA
"171","Quang Ninh",6,NA,"15:29, 22 March 2020",0,NA
"172","Thanh Hoa",1,NA,"15:29, 22 March 2020",1,NA
"173","Thua Thien Hue",2,NA,"15:29, 22 March 2020",0,NA
"174","Tra Vinh",2,NA,"15:29, 22 March 2020",0,NA
"175","Vinh Phuc",11,NA,"15:29, 22 March 2020",11,NA
"176","18 cities and provinces",113,NA,"15:29, 22 March 2020",17,NA
"177","Bac Ninh",1,NA,"18:09, 23 March 2020",0,NA
"178","Ben Tre",1,NA,"18:09, 23 March 2020",0,NA
"179","Binh Thuan",9,NA,"18:09, 23 March 2020",0,NA
"180","Da Nang",5,NA,"18:09, 23 March 2020",0,NA
"181","Dong Thap",4,NA,"18:09, 23 March 2020",0,NA
"182","Hai Duong",1,NA,"18:09, 23 March 2020",0,NA
"183","Hanoi",39,NA,"18:09, 23 March 2020",0,NA
"184","Ho Chi Minh City",30,NA,"18:09, 23 March 2020",3,NA
"185","Hung Yen",2,NA,"18:09, 23 March 2020",0,NA
"186","Khanh Hoa",1,NA,"18:09, 23 March 2020",1,NA
"187","Lao Cai",2,NA,"18:09, 23 March 2020",0,NA
"188","Ninh Binh",1,NA,"18:09, 23 March 2020",1,NA
"189","Ninh Thuan",2,NA,"18:09, 23 March 2020",0,NA
"190","Quang Nam",3,NA,"18:09, 23 March 2020",0,NA
"191","Quang Ninh",6,NA,"18:09, 23 March 2020",0,NA
"192","Tay Ninh",2,NA,"18:09, 23 March 2020",0,NA
"193","Thanh Hoa",1,NA,"18:09, 23 March 2020",1,NA
"194","Thua Thien Hue",2,NA,"18:09, 23 March 2020",0,NA
"195","Tra Vinh",2,NA,"18:09, 23 March 2020",0,NA
"196","Vinh Phuc",11,NA,"18:09, 23 March 2020",11,NA
"197","20 cities and provinces",123,NA,"18:09, 23 March 2020",17,NA
"198","Bac Ninh",1,NA,"21:22, 24 March 2020",0,NA
"199","Ben Tre",1,NA,"21:22, 24 March 2020",0,NA
"200","Binh Thuan",9,NA,"21:22, 24 March 2020",0,NA
"201","Da Nang",5,NA,"21:22, 24 March 2020",0,NA
"202","Dong Thap",4,NA,"21:22, 24 March 2020",0,NA
"203","Hai Duong",1,NA,"21:22, 24 March 2020",0,NA
"204","Hanoi",44,NA,"21:22, 24 March 2020",0,NA
"205","Ho Chi Minh City",34,NA,"21:22, 24 March 2020",3,NA
"206","Khanh Hoa",1,NA,"21:22, 24 March 2020",1,NA
"207","Lai Chau",1,NA,"21:22, 24 March 2020",0,NA
"208","Lao Cai",2,NA,"21:22, 24 March 2020",0,NA
"209","Ninh Binh",1,NA,"21:22, 24 March 2020",1,NA
"210","Ninh Thuan",2,NA,"21:22, 24 March 2020",0,NA
"211","Quang Nam",3,NA,"21:22, 24 March 2020",0,NA
"212","Quang Ninh",6,NA,"21:22, 24 March 2020",0,NA
"213","Tay Ninh",2,NA,"21:22, 24 March 2020",0,NA
"214","Thanh Hoa",2,NA,"21:22, 24 March 2020",1,NA
